Date,City,Route,Mode,DayType,Ridership
2002-07-06,Chicago,Total,Bus,A,597877
2002-07-07,Chicago,Total,Bus,U,445916
2002-07-08,Chicago,Total,Bus,W,929870
2002-07-09,Chicago,Total,Bus,W,919623
2002-07-10,Chicago,Total,Bus,W,941513
2002-07-11,Chicago,Total,Bus,W,969657
2002-07-12,Chicago,Total,Bus,W,963191
2002-07-13,Chicago,Total,Bus,A,624850
2002-07-14,Chicago,Total,Bus,U,433166
2002-07-15,Chicago,Total,Bus,W,949705
2002-07-16,Chicago,Total,Bus,W,946077
2002-07-17,Chicago,Total,Bus,W,931752
2002-07-18,Chicago,Total,Bus,W,942643
2002-07-19,Chicago,Total,Bus,W,960153
2002-07-20,Chicago,Total,Bus,A,635657
2002-07-21,Chicago,Total,Bus,U,412477
2002-07-22,Chicago,Total,Bus,W,900537
2002-07-23,Chicago,Total,Bus,W,955084
2002-07-24,Chicago,Total,Bus,W,945502
2002-07-25,Chicago,Total,Bus,W,931679
2002-07-26,Chicago,Total,Bus,W,942389
